Date,Price,,Days since 01/01/2000,,,,,,,,,,,,
31-Dec-20,84.08,,7670,,,,,,,,,,,,
30-Dec-20,84.14,,7669,,,,,,,,,,,,
29-Dec-20,84.02,,7668,,,,,,,,,,,,
28-Dec-20,83.733,,7667,,,,,,,,,,,,
24-Dec-20,83.18,,7663,,,,,,,,,,,,
23-Dec-20,83.35,,7662,,,,,,,,,,,,
22-Dec-20,83.24,,7661,,,,,,,,,,,,
21-Dec-20,82.974,,7660,,,,,,,,,,,,
18-Dec-20,82.664,,7657,,,,,,,,,,,,
17-Dec-20,82.71,,7656,,,,,,,,,,,,
16-Dec-20,82.46,,7655,,,,,,,,,,,,
15-Dec-20,82.47,,7654,,,,,,,,,,,,
14-Dec-20,82.37,,7653,,,,,,,,,,,,
11-Dec-20,82.14,,7650,,,,,,,,,,,,
10-Dec-20,82.13,,7649,,,,,,,,,,,,
9-Dec-20,82.04,,7648,,,,,,,,,,,,
8-Dec-20,81.58,,7647,,,,,,,,,,,,
7-Dec-20,81.48,,7646,,,,,,,,,,,,
4-Dec-20,81.66,,7643,,,,,,,,,,,,
3-Dec-20,81.4,,7642,,,,,,,,,,,,
2-Dec-20,81.48,,7641,,,,,,,,,,,,
1-Dec-20,81.43,,7640,,,,,,,,,,,,
30-Nov-20,81.3,,7639,,,,,,,,,,,,
27-Nov-20,81.06,,7636,,,,,,,,,,,,
26-Nov-20,80.87,,7635,,,,,,,,,,,,
25-Nov-20,80.79,,7634,,,,,,,,,,,,
24-Nov-20,80.68,,7633,,,,,,,,,,,,
23-Nov-20,80.29,,7632,,,,,,,,,,,,
20-Nov-20,80.35,,7629,,,,,,,,,,,,
19-Nov-20,80.27,,7628,,,,,,,,,,,,
18-Nov-20,79.991,,7627,,,,,,,,,,,,
17-Nov-20,80.03,,7626,,,,,,,,,,,,
16-Nov-20,79.95,,7625,,,,,,,,,,,,
13-Nov-20,79.74,,7622,,,,,,,,,,,,
12-Nov-20,79.5,,7621,,,,,,,,,,,,
11-Nov-20,79.322,,7620,,,,,,,,,,,,
10-Nov-20,79.37,,7619,,,,,,,,,,,,
9-Nov-20,79.178,,7618,,,,,,,,,,,,
6-Nov-20,79.03,,7615,,,,,,,,,,,,
5-Nov-20,79.08,,7614,,,,,,,,,,,,
4-Nov-20,78.865,,7613,,,,,,,,,,,,
3-Nov-20,78.92,,7612,,,,,,,,,,,,
2-Nov-20,78.68,,7611,,,,,,,,,,,,
30-Oct-20,78.32,,7608,,,,,,,,,,,,
29-Oct-20,78.29,,7607,,,,,,,,,,,,
28-Oct-20,78.3,,7606,,,,,,,,,,,,
27-Oct-20,78.3,,7605,,,,,,,,,,,,
26-Oct-20,78.084,,7604,,,,,,,,,,,,
23-Oct-20,78.12,,7601,,,,,,,,,,,,
22-Oct-20,77.99,,7600,,,,,,,,,,,,
21-Oct-20,77.67,,7599,,,,,,,,,,,,
20-Oct-20,77.507,,7598,,,,,,,,,,,,
19-Oct-20,77.57,,7597,,,,,,,,,,,,
16-Oct-20,77.368,,7594,,,,,,,,,,,,
15-Oct-20,77.47,,7593,,,,,,,,,,,,
14-Oct-20,77.4,,7592,,,,,,,,,,,,
13-Oct-20,77.25,,7591,,,,,,,,,,,,
9-Oct-20,77.14,,7587,,,,,,,,,,,,
8-Oct-20,77.11,,7586,,,,,,,,,,,,
7-Oct-20,77.1,,7585,,,,,,,,,,,,
6-Oct-20,77.06,,7584,,,,,,,,,,,,
5-Oct-20,76.94,,7583,,,,,,,,,,,,
2-Oct-20,76.789,,7580,,,,,,,,,,,,
1-Oct-20,76.18,,7579,,,,,,,,,,,,
30-Sep-20,76.17,,7578,,,,,,,,,,,,
29-Sep-20,76.11,,7577,,,,,,,,,,,,
28-Sep-20,76.05,,7576,,,,,,,,,,,,
25-Sep-20,75.687,,7573,,,,,,,,,,,,
24-Sep-20,75.77,,7572,,,,,,,,,,,,
23-Sep-20,75.558,,7571,,,,,,,,,,,,
22-Sep-20,75.489,,7570,,,,,,,,,,,,
21-Sep-20,75.51,,7569,,,,,,,,,,,,
18-Sep-20,75.219,,7566,,,,,,,,,,,,
17-Sep-20,75.31,,7565,,,,,,,,,,,,
16-Sep-20,75.09,,7564,,,,,,,,,,,,
15-Sep-20,75.13,,7563,,,,,,,,,,,,
14-Sep-20,75.05,,7562,,,,,,,,,,,,
11-Sep-20,74.83,,7559,,,,,,,,,,,,
10-Sep-20,74.68,,7558,,,,,,,,,,,,
9-Sep-20,74.61,,7557,,,,,,,,,,,,
8-Sep-20,74.63,,7556,,,,,,,,,,,,
7-Sep-20,74.64,,7555,,,,,,,,,,,,
4-Sep-20,74.42,,7552,,,,,,,,,,,,
3-Sep-20,74.31,,7551,,,,,,,,,,,,
2-Sep-20,74.31,,7550,,,,,,,,,,,,
1-Sep-20,74.24,,7549,,,,,,,,,,,,
31-Aug-20,74.022,,7548,,,,,,,,,,,,
28-Aug-20,73.842,,7545,,,,,,,,,,,,
27-Aug-20,73.785,,7544,,,,,,,,,,,,
26-Aug-20,73.701,,7543,,,,,,,,,,,,
25-Aug-20,73.652,,7542,,,,,,,,,,,,
24-Aug-20,73.574,,7541,,,,,,,,,,,,
21-Aug-20,73.57,,7538,,,,,,,,,,,,
20-Aug-20,73.369,,7537,,,,,,,,,,,,
19-Aug-20,73.47,,7536,,,,,,,,,,,,
18-Aug-20,73.39,,7535,,,,,,,,,,,,
17-Aug-20,73.1,,7534,,,,,,,,,,,,
14-Aug-20,73.15,,7531,,,,,,,,,,,,
13-Aug-20,72.955,,7530,,,,,,,,,,,,
12-Aug-20,73.04,,7529,,,,,,,,,,,,
11-Aug-20,72.844,,7528,,,,,,,,,,,,
10-Aug-20,72.88,,7527,,,,,,,,,,,,
7-Aug-20,72.76,,7524,,,,,,,,,,,,
6-Aug-20,72.69,,7523,,,,,,,,,,,,
5-Aug-20,72.466,,7522,,,,,,,,,,,,
4-Aug-20,72.56,,7521,,,,,,,,,,,,
3-Aug-20,72.365,,7520,,,,,,,,,,,,
31-Jul-20,72.31,,7517,,,,,,,,,,,,
30-Jul-20,72.25,,7516,,,,,,,,,,,,
29-Jul-20,72.19,,7515,,,,,,,,,,,,
28-Jul-20,72.13,,7514,,,,,,,,,,,,
27-Jul-20,71.926,,7513,,,,,,,,,,,,
24-Jul-20,71.83,,7510,,,,,,,,,,,,
23-Jul-20,71.686,,7509,,,,,,,,,,,,
22-Jul-20,71.77,,7508,,,,,,,,,,,,
21-Jul-20,71.71,,7507,,,,,,,,,,,,
20-Jul-20,71.506,,7506,,,,,,,,,,,,
17-Jul-20,71.47,,7503,,,,,,,,,,,,
16-Jul-20,71.267,,7502,,,,,,,,,,,,
15-Jul-20,71.207,,7501,,,,,,,,,,,,
14-Jul-20,71.22,,7500,,,,,,,,,,,,
13-Jul-20,71.088,,7499,,,,,,,,,,,,
10-Jul-20,70.86,,7496,,,,,,,,,,,,
9-Jul-20,70.788,,7495,,,,,,,,,,,,
8-Jul-20,70.788,,7494,,,,,,,,,,,,
7-Jul-20,70.87,,7493,,,,,,,,,,,,
6-Jul-20,70.8,,7492,,,,,,,,,,,,
3-Jul-20,70.63,,7489,,,,,,,,,,,,
2-Jul-20,70.57,,7488,,,,,,,,,,,,
1-Jul-20,70.51,,7487,,,,,,,,,,,,
30-Jun-20,70.309,,7486,,,,,,,,,,,,
29-Jun-20,70.259,,7485,,,,,,,,,,,,
26-Jun-20,70.07,,7482,,,,,,,,,,,,
25-Jun-20,70.15,,7481,,,,,,,,,,,,
24-Jun-20,70.08,,7480,,,,,,,,,,,,
23-Jun-20,70.03,,7479,,,,,,,,,,,,
22-Jun-20,69.92,,7478,,,,,,,,,,,,
19-Jun-20,69.74,,7475,,,,,,,,,,,,
18-Jun-20,69.593,,7474,,,,,,,,,,,,
17-Jun-20,69.531,,7473,,,,,,,,,,,,
16-Jun-20,69.61,,7472,,,,,,,,,,,,
15-Jun-20,69.231,,7471,,,,,,,,,,,,
12-Jun-20,69.37,,7468,,,,,,,,,,,,
11-Jun-20,69.31,,7467,,,,,,,,,,,,
10-Jun-20,69.24,,7466,,,,,,,,,,,,
9-Jun-20,69.023,,7465,,,,,,,,,,,,
8-Jun-20,68.929,,7464,,,,,,,,,,,,
